elapsed.time,key_resp.keys,key_resp.rt,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,instrLoop.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,instrAXCPTLoop.thisRepN,instrAXCPTLoop.thisTrialN,instrAXCPTLoop.thisN,instrAXCPTLoop.thisIndex,instrAXCPTLoop.ran,AXCPT_resp.keys,AXCPT_resp.corr,AXCPT_resp.rt,AXCPTtrialsLoop.thisRepN,AXCPTtrialsLoop.thisTrialN,AXCPTtrialsLoop.thisN,AXCPTtrialsLoop.thisIndex,AXCPTtrialsLoop.ran,trialNumber,trial,cueType,probeType,trialType,corrResponse,break1.duration,restBreak1_key_resp.keys,restBreak1_key_resp.rt,key_resp_3.keys,key_resp_3.rt,instrNBackLoop.thisRepN,instrNBackLoop.thisTrialN,instrNBackLoop.thisN,instrNBackLoop.thisIndex,instrNBackLoop.ran,NBack_resp_1.keys,NBackTargetLoop.thisRepN,NBackTargetLoop.thisTrialN,NBackTargetLoop.thisN,NBackTargetLoop.thisIndex,NBackTargetLoop.ran,NBack_resp_2.keys,NBack_resp_2.corr,NBackTrialsLoop.thisRepN,NBackTrialsLoop.thisTrialN,NBackTrialsLoop.thisN,NBackTrialsLoop.thisIndex,NBackTrialsLoop.ran,NBack_resp_2.rt,break2.duration,restBreak2_key_resp.keys,restBreak2_key_resp.rt,key_resp_4.keys,key_resp_4.rt,instrSearchLoop.thisRepN,instrSearchLoop.thisTrialN,instrSearchLoop.thisN,instrSearchLoop.thisIndex,instrSearchLoop.ran,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,searchLoop.thisRepN,searchLoop.thisTrialN,searchLoop.thisN,searchLoop.thisIndex,searchLoop.ran,cond,targetLetter,break3.duration,restBreak3_key_resp.keys,restBreak3_key_resp.rt,key_resp_5.keys,key_resp_5.rt,instrMentRotaLoop.thisRepN,instrMentRotaLoop.thisTrialN,instrMentRotaLoop.thisN,instrMentRotaLoop.thisIndex,instrMentRotaLoop.ran,MROT_resp.keys,MROT_resp.corr,MROT_resp.rt,mentRotTrialsLooop.thisRepN,mentRotTrialsLooop.thisTrialN,mentRotTrialsLooop.thisN,mentRotTrialsLooop.thisIndex,mentRotTrialsLooop.ran,imagefile,orientation,end_resp.keys,end_resp.rt
1091.067,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,1.0326,4,6,46,4,1,target,T,,,,,,,,,,,,,,,,,,,,,,
1094.3613,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.721,4,7,47,0,1,target,T,,,,,,,,,,,,,,,,,,,,,,
1097.3458,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1,1.171,4,8,48,5,1,nonTarget,L,,,,,,,,,,,,,,,,,,,,,,
1100.7748,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.6186,4,9,49,2,1,target,T,,,,,,,,,,,,,,,,,,,,,,
1103.6606,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1,0.6811,5,0,50,1,1,nonTarget,L,,,,,,,,,,,,,,,,,,,,,,
1106.6106,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.5117,5,1,51,2,1,target,T,,,,,,,,,,,,,,,,,,,,,,
1109.3916,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,1.2668,5,2,52,8,1,target,T,,,,,,,,,,,,,,,,,,,,,,
1112.9258,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.7227,5,3,53,6,1,target,T,,,,,,,,,,,,,,,,,,,,,,
1115.9054,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1,1.4004,5,4,54,9,1,nonTarget,L,,,,,,,,,,,,,,,,,,,,,,
1119.5678,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1,1.2757,5,5,55,7,1,nonTarget,L,,,,,,,,,,,,,,,,,,,,,,
1123.0971,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1,0.9236,5,6,56,3,1,nonTarget,L,,,,,,,,,,,,,,,,,,,,,,
1126.2701,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,1.2886,5,7,57,4,1,target,T,,,,,,,,,,,,,,,,,,,,,,
1129.8107,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1,0.8263,5,8,58,5,1,nonTarget,L,,,,,,,,,,,,,,,,,,,,,,
1132.8789,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.5274,5,9,59,0,1,target,T,,,,,,,,,,,,,,,,,,,,,,
1135.6678,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1,0.8086,6,0,60,5,1,nonTarget,L,,,,,,,,,,,,,,,,,,,,,,
1138.7305,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.7663,6,1,61,6,1,target,T,,,,,,,,,,,,,,,,,,,,,,
1141.7599,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1,1.2433,6,2,62,7,1,nonTarget,L,,,,,,,,,,,,,,,,,,,,,,
1145.2661,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1,0.5883,6,3,63,9,1,nonTarget,L,,,,,,,,,,,,,,,,,,,,,,
1148.1217,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1,0.4304,6,4,64,3,1,nonTarget,L,,,,,,,,,,,,,,,,,,,,,,
1150.7901,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,0,0.4534,6,5,65,0,1,target,T,,,,,,,,,,,,,,,,,,,,,,
