elapsed.time,key_resp.keys,key_resp.rt,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,instrLoop.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,instrAXCPTLoop.thisRepN,instrAXCPTLoop.thisTrialN,instrAXCPTLoop.thisN,instrAXCPTLoop.thisIndex,instrAXCPTLoop.ran,AXCPT_resp.keys,AXCPT_resp.corr,AXCPT_resp.rt,AXCPTtrialsLoop.thisRepN,AXCPTtrialsLoop.thisTrialN,AXCPTtrialsLoop.thisN,AXCPTtrialsLoop.thisIndex,AXCPTtrialsLoop.ran,trialNumber,trial,cueType,probeType,trialType,corrResponse,break1.duration,restBreak1_key_resp.keys,restBreak1_key_resp.rt,key_resp_3.keys,key_resp_3.rt,instrNBackLoop.thisRepN,instrNBackLoop.thisTrialN,instrNBackLoop.thisN,instrNBackLoop.thisIndex,instrNBackLoop.ran,NBack_resp_1.keys,NBack_resp_1.rt,NBackTargetLoop.thisRepN,NBackTargetLoop.thisTrialN,NBackTargetLoop.thisN,NBackTargetLoop.thisIndex,NBackTargetLoop.ran,NBack_resp_2.keys,NBack_resp_2.corr,NBack_resp_2.rt,NBackTrialsLoop.thisRepN,NBackTrialsLoop.thisTrialN,NBackTrialsLoop.thisN,NBackTrialsLoop.thisIndex,NBackTrialsLoop.ran,break2.duration,restBreak2_key_resp.keys,restBreak2_key_resp.rt,key_resp_4.keys,key_resp_4.rt,instrSearchLoop.thisRepN,instrSearchLoop.thisTrialN,instrSearchLoop.thisN,instrSearchLoop.thisIndex,instrSearchLoop.ran,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,searchLoop.thisRepN,searchLoop.thisTrialN,searchLoop.thisN,searchLoop.thisIndex,searchLoop.ran,cond,targetLetter,break3.duration,restBreak3_key_resp.keys,restBreak3_key_resp.rt,key_resp_5.keys,key_resp_5.rt,instrMentRotaLoop.thisRepN,instrMentRotaLoop.thisTrialN,instrMentRotaLoop.thisN,instrMentRotaLoop.thisIndex,instrMentRotaLoop.ran,MROT_resp.keys,MROT_resp.corr,MROT_resp.rt,mentRotTrialsLooop.thisRepN,mentRotTrialsLooop.thisTrialN,mentRotTrialsLooop.thisN,mentRotTrialsLooop.thisIndex,mentRotTrialsLooop.ran,imagefile,orientation,end_resp.keys,end_resp.rt
190.912,,,,,,,,,2024-01-20_09h57.36.891,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.337,2,3,23,2,1,3,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197.964,,,,,,,,,2024-01-20_09h57.36.891,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,d,1,0.509,2,4,24,7,1,8,BX,B,X,probeWrong,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205.201,,,,,,,,,2024-01-20_09h57.36.891,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.363,2,5,25,3,1,4,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212.286,,,,,,,,,2024-01-20_09h57.36.891,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,d,1,0.367,2,6,26,8,1,9,AY,A,Y,cueWrong,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219.372,,,,,,,,,2024-01-20_09h57.36.891,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.383,2,7,27,6,1,7,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226.474,,,,,,,,,2024-01-20_09h57.36.891,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.405,2,8,28,0,1,1,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233.593,,,,,,,,,2024-01-20_09h57.36.891,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.372,2,9,29,1,1,2,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240.696,,,,,,,,,2024-01-20_09h57.36.891,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.381,3,0,30,5,1,6,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247.791,,,,,,,,,2024-01-20_09h57.36.891,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,d,1,0.514,3,1,31,7,1,8,BX,B,X,probeWrong,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255.018,,,,,,,,,2024-01-20_09h57.36.891,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.43,3,2,32,3,1,4,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
